Code,Description
"00000","Entity Code Is Blocked Out Due to Confidential Reasons"
"01006","Virgin America (Domestic)"
"01100","PM Air, LLC (Domestic)"
"01113","Harris Air Services (Domestic)"
"01124","Cargo 360, Inc. (Domestic)"
"01126","Tradewind Aviation (Domestic)"
"01127","US Helicopter Corporation (Domestic)"
"01129","Pacific Airways, Inc. (Domestic)"
"01130","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern (Domestic)"
"01131","Compass Airlines (Domestic)"
"01133","Skybus Airlines, Inc. (Domestic)"
"01136","Inter Island Airways, d/b/a Inter Island Air (Domestic)"
"01139","Lynx Aviation d/b/a Frontier Airlines (Domestic)"
"01141","Kalitta Charters II (System)"
"01142","Vision Airlines (Domestic)"
"01143","Mokulele Flight Services, Inc. (Domestic)"
"01145","Multi-Aero, Inc. d/b/a Air Choice One (Domestic)"
"01146","Aloha Air Cargo (Domestic)"
"01148","Air Greco, Inc., d/b/a Wings Air (Domestic)"
"01150","Avjet Corporation (Domestic)"
"01151","Air Excursions LLC (Domestic)"
"01154","Prescott Support Company, Inc. (System)"
"01155","Prescott Support Company, Inc. (Domestic)"
"01158","Via Airlines d/b/a Sterling Airways (Domestic)"
"01159","Eastern Airlines f/k/a Dynamic Airways, LLC (Domestic)"
"01161","Island Airlines LLC (Domestic)"
"01162","KaiserAir, Inc. (Domestic)"
"01163","Alsek Air (Domestic)"
"01164","Eastern Airlines f/k/a Dynamic Airways, LLC (System)"
"01165","Twin Cities Air Service LLC (Domestic)"
"01166","Makani Kai Air Charters (Domestic)"
"01167","City Wings Inc dba Seaflight (Domestic)"
"01168","Southern Airways Express, dba Mokulele Airlines (Domestic)"
"01169","Star Marianas Air Inc. (Domestic)"
"01173","Reeve Air Alaska, LLC (Domestic)"
"01175","Scott Air LLC dba Island Air Express (Domestic)"
"01176","Ultimate JetCharters LLC dba Ultimate Air Shuttle (Domestic)"
"01177","Boutique Air (Domestic)"
"01180","Air Charter, Inc d/b/a Air Flamenco (Domestic)"
"01183","Western Global (Domestic)"
"01184","Orange Air (Domestic)"
"01185","Orange Air (System)"
"01189","CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle (Domestic)"
"01190","Gem Air LLC (Domestic)"
"01192","Songbird Airways Inc. (Domestic)"
"01193","Eastern Airlines Group Inc. (Domestic)"
"01194","Jet Aviation Flight Services, Inc. (Domestic)"
"01195","Menagerie Enterprises Inc d/b/a Monarch Air (Domestic)"
"01196","Erickson Helicopters (Domestic)"
"01199","J&M Alaska Air Tours, Inc. d/b/a Alaska Air Transit (Domestic)"
